#Accession	Name	Function	Category	TC
TIGR03747	conj_TIGR03747	integrating conjugative element membrane protein, PFL_4697 family	Mobile and extrachromosomal element functions	138.5
TIGR03748	conj_PilL	integrating conjugative element protein PilL, PFGI-1 class	Mobile and extrachromosomal element functions	64.15
TIGR03749	conj_TIGR03749	integrating conjugative element protein, PFL_4704 family	Mobile and extrachromosomal element functions	138.8
TIGR03750	conj_TIGR03750	conjugative transfer region protein, TIGR03750 family	Mobile and extrachromosomal element functions	70.75
TIGR03751	conj_TIGR03751	conjugative transfer region lipoprotein, TIGR03751 family	Mobile and extrachromosomal element functions	77.7
TIGR03752	conj_TIGR03752	integrating conjugative element protein, PFL_4705 family	Mobile and extrachromosomal element functions	241
TIGR03753	blh_monoox	beta-carotene 15,15'-monooxygenase, Brp/Blh family	Other	95.25
TIGR03754	conj_TOL_TraD	conjugative coupling factor TraD, PFGI-1 class	Other	647.55
TIGR03755	conj_TIGR03755	integrating conjugative element protein, PFL_4711 family	Mobile and extrachromosomal element functions	270.45
TIGR03756	conj_TIGR03756	integrating conjugative element protein, PFL_4710 family	Mobile and extrachromosomal element functions	188.35
TIGR03757	conj_TIGR03757	integrating conjugative element protein, PFL_4709 family	Mobile and extrachromosomal element functions	73.2
TIGR03758	conj_TIGR03758	integrating conjugative element protein, PFL_4701 family	Mobile and extrachromosomal element functions	42.7
TIGR03759	conj_TIGR03759	integrating conjugative element protein, PFL_4693 family	Mobile and extrachromosomal element functions	126.4
TIGR03760	ICE_TraI_Pfluor	integrating conjugative element relaxase, PFGI-1 class	Other	161.4
TIGR03761	ICE_PFL4669	integrating conjugative element protein, PFL_4669 family	Other	110.7
TIGR03762	archaeo_artC	archaeosortase C	Protein fate	100
TIGR03763	cyanoexo_CrtA	cyanoexosortase A	Protein fate	150
TIGR03764	ICE_PFGI_1_parB	integrating conjugative element, PFGI_1 class, ParB family protein	Other	143.75
TIGR03765	ICE_PFL_4695	integrating conjugative element protein, PFL_4695 family	Other	59.75
TIGR03766	TIGR03766	conserved hypothetical integral membrane protein	Other	288.45
TIGR03767	P_acnes_RR	metallophosphoesterase, PPA1498 family	Other	330.75
TIGR03768	RPA4764	metallophosphoesterase, RPA4764 family	Other	387.4
TIGR03769	P_ac_wall_RPT	actinobacterial surface-anchored protein domain	Other	30.9
TIGR03770	anch_rpt_perm	anchored repeat-type ABC transporter, permease subunit	Transport and binding proteins	296.8
TIGR03771	anch_rpt_ABC	anchored repeat-type ABC transporter, ATP-binding subunit	Transport and binding proteins	268.8
TIGR03772	anch_rpt_subst	anchored repeat ABC transporter, substrate-binding protein	Transport and binding proteins	350.45
TIGR03773	anch_rpt_wall	putative ABC transporter-associated repeat protein	Other	190.3
TIGR03774	RPE2	rickettsial palindromic element RPE2 domain	Other	36.15
TIGR03775	RPE3	rickettsial palindromic element RPE3 domain	Other	30.25
TIGR03776	RPE5	rickettsial palindromic element RPE5 domain	Other	29.45
TIGR03777	RPE4	rickettsial palindromic element RPE4 domain	Other	23.95
TIGR03778	VPDSG_CTERM	VPDSG-CTERM protein sorting domain	Other	22
TIGR03779	Bac_Flav_CT_M	Bacteroides conjugative transposon TraM protein	Cellular processes	172.45
TIGR03780	Bac_Flav_CT_N	Bacteroides conjugative transposon TraN protein	Cellular processes	164.1
TIGR03781	Bac_Flav_CT_K	Bacteroides conjugative transposon TraK protein	Cellular processes	152.45
TIGR03782	Bac_Flav_CT_J	Bacteroides conjugative transposon TraJ protein	Cellular processes	289.95
TIGR03783	Bac_Flav_CT_G	Bacteroides conjugation system ATPase, TraG family	Cellular processes	261.55
TIGR03784	marine_sortase	sortase, marine proteobacterial type	Other	158.25
TIGR03785	marine_sort_HK	proteobacterial dedicated sortase system histidine kinase	Other	612.2
TIGR03786	strep_pil_rpt	streptococcal pilin isopeptide linkage domain	Other	31.85
TIGR03787	marine_sort_RR	proteobacterial dedicated sortase system response regulator	Other	335.7
TIGR03788	marine_srt_targ	marine proteobacterial sortase target protein	Other	551.65
TIGR03789	pdsO	proteobacterial sortase system peptidoglycan-associated protein	Protein fate	152.2
TIGR03790	TIGR03790	TIGR03790 family protein	Other	67
TIGR03791	TTQ_mauG	tryptophan tryptophylquinone biosynthesis enzyme MauG	Other	443.85
TIGR03792	TIGR03792	uncharacterized cyanobacterial protein, TIGR03792 family	Unknown function	45.75
TIGR03793	TOMM_pelo	NHLP leader peptide domain	Cellular processes	50.9
TIGR03794	NHLM_micro_HlyD	NHLM bacteriocin system secretion protein	Transport and binding proteins	156.2
TIGR03795	RNP_Burkhold	ribosomal natural product, two-chain TOMM family	Cellular processes	41
TIGR03796	NHLM_micro_ABC1	NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein	Transport and binding proteins	853.3
TIGR03797	NHLM_micro_ABC2	NHLM bacteriocin system ABC transporter, ATP-binding protein	Transport and binding proteins	709.4
TIGR03798	ocin_TIGR03798	nif11-like leader peptide domain	Cellular processes	32.3
TIGR03799	NOD_PanD_pyr	putative pyridoxal-dependent aspartate 1-decarboxylase	Biosynthesis of cofactors, prosthetic groups, and carriers	606.1
TIGR03800	PLP_synth_Pdx2	pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2	Biosynthesis of cofactors, prosthetic groups, and carriers	105.55
TIGR03801	asp_4_decarbox	aspartate 4-decarboxylase	Energy metabolism	435.1
TIGR03802	Asp_Ala_antiprt	aspartate-alanine antiporter	Other	546.95
TIGR03803	Gloeo_Verruco	gloeo_Verruco repeat	Other	35.65
TIGR03804	para_beta_helix	parallel beta-helix repeat	Other	19.45
TIGR03805	beta_helix_1	parallel beta-helix repeat-containing protein	Unknown function	141.5
TIGR03806	chp_HNE_0200	conserved hypothetical protein, HNE_0200 family	Hypothetical proteins	313.3
TIGR03807	RR_fam_repeat	putative cofactor-binding repeat	Other	15.75
TIGR03808	RR_plus_rpt_1	twin-arg-translocated uncharacterized repeat protein	Other	120
TIGR03809	TIGR03809	TIGR03809 family protein	Other	50.15
TIGR03810	arg_ornith_anti	arginine-ornithine antiporter	Transport and binding proteins	591
TIGR03811	tyr_de_CO2_Ent	tyrosine decarboxylase	Cellular processes	905.3
TIGR03812	tyr_de_CO2_Arch	tyrosine decarboxylase MnfA	Biosynthesis of cofactors, prosthetic groups, and carriers	299.4
TIGR03813	put_Glu_GABA_T	putative glutamate/gamma-aminobutyrate antiporter	Other	546.85
TIGR03814	Gln_ase	glutaminase A	Energy metabolism	255.4
TIGR03815	CpaE_hom_Actino	helicase/secretion neighborhood CpaE-like protein	Other	154.45
TIGR03816	tadE_like_DECH	helicase/secretion neighborhood TadE-like protein	Unknown function	50.95
TIGR03817	DECH_helic	helicase/secretion neighborhood putative DEAH-box helicase	Other	874.1
TIGR03818	MotA1	flagellar motor stator protein MotA	Other	303.8
TIGR03819	heli_sec_ATPase	helicase/secretion neighborhood ATPase	Other	373.15
TIGR03820	lys_2_3_AblA	lysine-2,3-aminomutase	Other	525.4
TIGR03821	EFP_modif_epmB	EF-P beta-lysylation protein EpmB	Protein fate	369.3
TIGR03822	AblA_like_2	lysine-2,3-aminomutase-related protein	Other	396.25
TIGR03823	FliZ	flagellar regulatory protein FliZ	Other	159.3
TIGR03824	FlgM_jcvi	flagellar biosynthesis anti-sigma factor FlgM	Other	40.75
TIGR03825	FliH_bacil	flagellar assembly protein FliH	Other	148.9
TIGR03826	YvyF	flagellar operon protein TIGR03826	Other	124.15
TIGR03827	GNAT_ablB	putative beta-lysine N-acetyltransferase	Other	205.1
TIGR03828	pfkB	1-phosphofructokinase	Other	292
TIGR03829	YokU_near_AblA	uncharacterized protein, YokU family	Unknown function	90.85
TIGR03830	CxxCG_CxxCG_HTH	putative zinc finger/helix-turn-helix protein, YgiT family	Other	61.8
TIGR03831	YgiT_finger	YgiT-type zinc finger domain	Other	20.2
TIGR03832	Tyr_2_3_mutase	tyrosine 2,3-aminomutase	Other	501
TIGR03833	TIGR03833	conserved hypothetical protein	Hypothetical proteins	63.4
TIGR03834	EAGR_box	EAGR box	Other	34.1
TIGR03835	termin_org_DnaJ	terminal organelle assembly protein TopJ	Cellular processes	512.25
TIGR03836	termin_org_HMW1	cytadherence high molecular weight protein 1 N-terminal region	Other	85.2
TIGR03837	efp_adjacent_2	conserved hypothetical protein, PP_1857 family	Other	347.05
TIGR03838	queuosine_YadB	glutamyl-queuosine tRNA(Asp) synthetase	Protein synthesis	276.7
TIGR03839	termin_org_P1	adhesin P1	Cellular processes	625.6
TIGR03840	TMPT_Se_Te	thiopurine S-methyltransferase, Se/Te detoxification family	Other	223.2
TIGR03841	F420_Rv3093c	probable F420-dependent oxidoreductase, Rv3093c family	Unknown function	213.65
TIGR03842	F420_CPS_4043	F420-dependent oxidoreductase, CPS_4043 family	Unknown function	295.45
TIGR03843	TIGR03843	conserved hypothetical protein	Other	172.4
TIGR03844	cysteate_syn	cysteate synthase	Energy metabolism	324.9
TIGR03845	sulfopyru_alph	sulfopyruvate decarboxylase, alpha subunit	Energy metabolism	147.95
TIGR03846	sulfopy_beta	sulfopyruvate decarboxylase, beta subunit	Other	221.5
TIGR03847	TIGR03847	conserved hypothetical protein	Other	117.25
TIGR03848	MSMEG_4193	probable phosphomutase, MSMEG_4193 family	Other	203.85
TIGR03849	arch_ComA	phosphosulfolactate synthase	Energy metabolism	331.9
TIGR03850	bind_CPR_0540	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family	Transport and binding proteins	299
TIGR03851	chitin_NgcE	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein	Transport and binding proteins	399.65
TIGR03852	sucrose_gtfA	sucrose phosphorylase	Other	334.4
TIGR03853	matur_matur	putative metal-binding protein	Other	65.7
TIGR03854	F420_MSMEG_3544	probable F420-dependent oxidoreductase, MSMEG_3544 family	Unknown function	295.6
TIGR03855	NAD_NadX	aspartate dehydrogenase	Other	206.55
TIGR03856	F420_MSMEG_2906	probable F420-dependent oxidoreductase, MSMEG_2906 family	Unknown function	243.7
TIGR03857	F420_MSMEG_2249	probable F420-dependent oxidoreductase, MSMEG_2249 family	Unknown function	218.4
TIGR03858	LLM_2I7G	probable oxidoreductase, LLM family	Other	462.25
TIGR03859	PQQ_PqqD	coenzyme PQQ biosynthesis protein PqqD	Biosynthesis of cofactors, prosthetic groups, and carriers	46
TIGR03860	FMN_nitrolo	FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family	Unknown function	279.7
TIGR03861	phenyl_ABC_PedC	alcohol ABC transporter, permease protein	Transport and binding proteins	241.35
TIGR03862	flavo_PP4765	flavoprotein, TIGR03862 family	Other	242.65
TIGR03863	PQQ_ABC_bind	ABC transporter, substrate binding protein, PQQ-dependent alcohol dehydrogenase system	Transport and binding proteins	413.6
TIGR03864	PQQ_ABC_ATP	ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system	Transport and binding proteins	302.25
TIGR03865	PQQ_CXXCW	PQQ-dependent catabolism-associated CXXCW motif protein	Other	128.05
TIGR03866	PQQ_ABC_repeats	PQQ-dependent catabolism-associated beta-propeller protein	Other	287.3
TIGR03867	MprA_tail	MprA protease C-terminal rhombosortase-interaction domain	Other	19.7
TIGR03868	F420-O_ABCperi	proposed F420-0 ABC transporter, periplasmic F420-0 binding protein	Other	392.4
TIGR03869	F420-0_ABCperm	proposed F420-0 ABC transporter, permease protein	Other	437.35
TIGR03870	ABC_MoxJ	methanol oxidation system protein MoxJ	Transport and binding proteins	258.1
TIGR03871	ABC_peri_MoxJ_2	quinoprotein dehydrogenase-associated probable ABC transporter substrate-binding protein	Other	212.15
TIGR03872	cytochrome_MoxG	cytochrome c(L), periplasmic	Energy metabolism	147.8
TIGR03873	F420-0_ABC_ATP	proposed F420-0 ABC transporter, ATP-binding protein	Other	372.4
TIGR03874	4cys_cytochr	c-type cytochrome, methanol metabolism-related	Other	161.75
TIGR03875	RNA_lig_partner	RNA ligase partner, MJ_0950 family	Other	95.3
TIGR03876	cas_csaX	CRISPR type I-A/APERN-associated protein CsaX	Other	222.5
TIGR03877	thermo_KaiC_1	KaiC domain protein, Ph0284 family	Other	307.25
TIGR03878	thermo_KaiC_2	KaiC domain protein, AF_0795 family	Other	232.2
TIGR03879	near_KaiC_dom	probable regulatory domain	Other	65.1
TIGR03880	KaiC_arch_3	KaiC domain protein, AF_0351 family	Other	249.45
TIGR03881	KaiC_arch_4	KaiC domain protein, PAE1156 family	Other	247.8
TIGR03882	cyclo_dehyd_2	bacteriocin biosynthesis cyclodehydratase domain	Other	36.9
TIGR03883	DUF2342_F420	uncharacterized protein, coenzyme F420 biosynthesis associated	Other	171.35
TIGR03884	sel_bind_Methan	selenium-binding protein	Other	44.65
TIGR03885	flavin_revert	probable non-F420 flavinoid oxidoreductase	Unknown function	398.7
TIGR03886	lyase_spl_fam	spore photoproduct lyase family protein	Other	437.55
TIGR03887	thiocyan_alph	thiocyanate hydrolase, gamma subunit	Other	291.45
TIGR03888	nitrile_beta	nitrile hydratase, beta subunit	Energy metabolism	152.2
TIGR03889	nitrile_acc	nitrile hydratase accessory protein	Other	46
TIGR03890	nif11_cupin	nif11 domain/cupin domain protein	Other	159.45
TIGR03891	thiopep_ocin	thiopeptide-type bacteriocin biosynthesis domain	Cellular processes	48.45
TIGR03892	thiopep_precurs	thiazolylpeptide-type bacteriocin precursor	Cellular processes	25
TIGR03893	lant_SP_1948	type 2 lantibiotic, SP_1948 family	Cellular processes	32.95
TIGR03894	chp_P_marinus_1	conserved hypothetical protein, TIGR03894 family	Hypothetical proteins	67.75
TIGR03895	protease_PatA	cyanobactin maturation protease, PatA/PatG family	Other	421.05
TIGR03896	cyc_nuc_ocin	bacteriocin-type transport-associated protein	Other	161.05
TIGR03897	lanti_2_LanM	type 2 lantibiotic biosynthesis protein LanM	Cellular processes	304
TIGR03898	lanti_MRSA_kill	type 2 lantibiotic, mersacidin/lichenicidin family	Cellular processes	23.5
TIGR03899	TIGR03899	TIGR03899 family protein	Other	155.65
TIGR03900	prc_long_Delta	putative carboxyl-terminal-processing protease, deltaproteobacterial	Other	660.95
TIGR03901	MYXO-CTERM	MYXO-CTERM domain	Other	25.5
TIGR03902	rhom_GG_sort	rhombosortase	Other	84
TIGR03903	TOMM_kin_cyc	TOMM system kinase/cyclase fusion protein	Cellular processes	705.75
TIGR03904	SAM_YgiQ	uncharacterized radical SAM protein YgiQ	Unknown function	462.35
TIGR03905	TIGR03905_4_Cys	uncharacterized protein TIGR03905	Unknown function	67.7
TIGR03906	quino_hemo_SAM	quinohemoprotein amine dehydrogenase maturation protein	Protein fate	453
TIGR03907	QH_beta	quinohemoprotein amine dehydrogenase, beta subunit	Energy metabolism	223.2
TIGR03908	QH_alpha	quinohemoprotein amine dehydrogenase, alpha subunit	Energy metabolism	274.35
TIGR03909	pyrrolys_PylC	pyrrolysine biosynthesis protein PylC	Amino acid biosynthesis	248.3
TIGR03910	pyrrolys_PylB	pyrrolysine biosynthesis radical SAM protein	Amino acid biosynthesis	348.2
TIGR03911	pyrrolys_PylD	pyrrolysine biosynthesis protein PylD	Amino acid biosynthesis	150.05
TIGR03912	PylS_Nterm	pyrrolysine--tRNA ligase, N-terminal region	Protein synthesis	51.15
TIGR03913	rad_SAM_trio	Y_X(10)_GDL-associated radical SAM protein	Unknown function	591.75
TIGR03914	UDG_fam_dom	uracil-DNA glycosylase family domain	Other	189.95
TIGR03915	SAM_7_link_chp	probable DNA metabolism protein	Other	112.25
TIGR03916	rSAM_link_UDG	putative DNA modification/repair radical SAM protein	Unknown function	343.5
TIGR03917	Frankia_40_dom	Frankia-40 domain	Other	40
TIGR03918	GTP_HydF	[FeFe] hydrogenase H-cluster maturation GTPase HydF	Protein fate	325.55
TIGR03919	T7SS_EccB	type VII secretion protein EccB	Protein fate	154
TIGR03920	T7SS_EccD	type VII secretion integral membrane protein EccD	Protein fate	94.95
TIGR03921	T7SS_mycosin	type VII secretion-associated serine protease mycosin	Protein fate	278.75
TIGR03922	T7SS_EccA	type VII secretion AAA-ATPase EccA	Protein fate	466.65
TIGR03923	T7SS_EccE	type VII secretion protein EccE	Protein fate	108
TIGR03924	T7SS_EccC_a	type VII secretion protein EccCa	Protein fate	509.15
TIGR03925	T7SS_EccC_b	type VII secretion protein EccCb	Protein fate	346.55
TIGR03926	T7_EssB	type VII secretion protein EssB	Protein fate	229.75
TIGR03927	T7SS_EssA_Firm	type VII secretion protein EssA	Protein fate	32.45
TIGR03928	T7_EssCb_Firm	type VII secretion protein EssC	Protein fate	778.4
TIGR03929	T7_esaA_Nterm	type VII secretion protein EsaA	Other	122
TIGR03930	WXG100_ESAT6	WXG100 family type VII secretion target	Other	44.85
TIGR03931	T7SS_Rv3446c	type VII secretion-associated protein, Rv3446c family	Protein fate	47.6
TIGR03932	PIA_icaD	intracellular adhesion protein D	Cell envelope	69.05
TIGR03933	PIA_icaB	intercellular adhesin biosynthesis polysaccharide N-deacetylase	Cellular processes	248.35
TIGR03934	TQXA_dom	TQXA domain	Other	30.4
TIGR03935	fragilysin	fragilysin	Cellular processes	190.7
TIGR03936	sam_1_link_chp	radical SAM-linked protein	Other	71.9
TIGR03937	PgaC_IcaA	poly-beta-1,6 N-acetyl-D-glucosamine synthase	Other	422.3
TIGR03938	deacetyl_PgaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB	Cell envelope	321.9
TIGR03939	PGA_TPR_OMP	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA	Other	366.65
TIGR03940	PGA_PgaD	poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD	Cell envelope	31.45
TIGR03941	tRNA_deam_assoc	putative tRNA adenosine deaminase-associated protein	Unknown function	53.6
TIGR03942	sulfatase_rSAM	anaerobic sulfatase maturase	Protein fate	349.45
TIGR03943	TIGR03943	TIGR03943 family protein	Other	88.8
TIGR03944	dehyd_SbnB_fam	2,3-diaminopropionate biosynthesis protein SbnB	Cellular processes	326.9
TIGR03945	PLP_SbnA_fam	2,3-diaminopropionate biosynthesis protein SbnA	Cellular processes	349.95
TIGR03946	viomycin_VioC	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent	Cellular processes	418.6
TIGR03947	viomycin_VioD	capreomycidine synthase	Cellular processes	390.9
TIGR03948	butyr_acet_CoA	butyryl-CoA:acetate CoA-transferase	Energy metabolism	674.8
TIGR03949	bact_IIb_cerein	class IIb bacteriocin, lactobin A/cerein 7B family	Other	21.5
TIGR03950	sidero_Fe_reduc	siderophore ferric iron reductase, AHA_1954 family	Transport and binding proteins	137.9
TIGR03951	Fe_III_red_FhuF	siderophore-iron reductase FhuF	Transport and binding proteins	63.85
TIGR03952	metzin_BF0631	zinc-dependent metalloproteinase lipoprotein, BF0631 family	Protein fate	208.1
TIGR03953	rplD_bact	50S ribosomal protein uL4	Protein synthesis	130.1
TIGR03954	integ_memb_HG	integral membrane protein	Unknown function	33.25
TIGR03955	rSAM_HydG	[FeFe] hydrogenase H-cluster radical SAM maturase HydG	Protein fate	312.15
TIGR03956	rSAM_HydE	[FeFe] hydrogenase H-cluster radical SAM maturase HydE	Protein fate	254.6
TIGR03957	rSAM_HmdB	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdB	Protein fate	320.9
TIGR03958	monoFe_hyd_HmdC	5,10-methenyltetrahydromethanopterin hydrogenase cofactor biosynthesis protein HmdC	Protein fate	407
TIGR03959	hyd_TM1266	putative iron-only hydrogenase system regulator	Regulatory functions	60.8
TIGR03960	rSAM_fuse_unch	radical SAM family uncharacterized protein	Unknown function	462.3
